Response_ID,Age,Gender,Marital Status,Educational Qualification,Department,Job Level,Employment Type,Years at Infinity Microfinance Bank,Years of Experience in the Banking Sector,DIV01,DIV02,DIV03,DIV04,DIV05,DIV06,DIV07,DIV08,DIV09,INC01,INC02,INC03,INC04,INC05,INC06,INC07,INC08,INC09,INC10,PERF01,PERF02,PERF03,PERF04,PERF05,PERF06,PERF07,PERF08,PERF09,PERF10,PERF11,REL01,REL02,REL03,REL04,REL05,REL06,REL07,Diversity_Score,Inclusion_Score,Performance_Score,Relationship_Score,Overall_D&I_Performance_Score,Performance_Band
R001,38 – 47 years,Female,Married,Professional Certificate,Human Resources / Administration,Management / Executive,Full-time,Above 10 years,Above 10 years,5,4,5,4,5,5,5,3,5,5,4,5,5,5,5,5,4,4,4,4,4,5,4,5,4,5,5,4,5,4,5,4,4,4,5,5,4,4.555555555555555,4.6,4.454545454545454,4.428571428571429,4.509668109668109,High
R002,28 – 37 years,Female,Married,Bachelor's Degree / HND,Operations / Teller,Senior Staff,Full-time,5 – 10 years,5 – 10 years,4,4,5,5,5,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,3,4,4,3,4,4,4,4,4.222222222222222,3.9,3.727272727272727,3.857142857142857,3.9266594516594515,High
R003,38 – 47 years,Male,Married,Bachelor's Degree / HND,AUDIT,Senior Staff,Full-time,Above 10 years,Above 10 years,4,3,3,2,4,3,4,2,4,3,2,3,2,2,3,5,3,3,3,2,4,4,4,2,2,5,5,3,5,5,3,3,4,4,3,3,3,3.2222222222222223,2.9,3.727272727272727,3.2857142857142856,3.2838023088023087,High
R004,18 – 27 years,Female,Single,Bachelor's Degree / HND,Credit and Risk Management,Junior Staff,Full-time,Less than 2 years,Less than 2 years,3,3,4,4,3,4,4,2,1,2,2,3,3,5,3,5,3,5,5,2,3,3,4,5,2,3,3,3,3,2,2,2,3,3,5,3,3,3.111111111111111,3.6,3.0,3.0,3.177777777777778,Moderate
R005,38 – 47 years,Male,Married,Bachelor's Degree / HND,Marketing / Business Development,Senior Staff,Full-time,Less than 2 years,Above 10 years,4,4,3,5,5,4,3,1,3,2,5,4,4,5,3,4,5,4,4,3,4,5,4,4,5,5,5,4,4,5,4,4,5,4,5,5,4,3.5555555555555554,4.0,4.363636363636363,4.428571428571429,4.086940836940837,High
R006,28 – 37 years,Female,Married,Bachelor's Degree / HND,Marketing / Business Development,Junior Staff,Full-time,Less than 2 years,2 – 5 years,3,4,3,4,5,4,4,2,3,3,3,3,4,4,4,4,3,4,4,3,5,5,5,5,4,4,3,5,4,4,5,4,4,4,3,3,4,3.5555555555555554,3.6,4.2727272727272725,3.857142857142857,3.8213564213564215,High
R007,28 – 37 years,Female,Married,Bachelor's Degree / HND,Marketing / Business Development,Senior Staff,Full-time,5 – 10 years,5 – 10 years,5,5,5,4,5,5,4,2,5,4,4,5,4,5,4,5,4,5,5,2,4,5,5,5,5,5,4,5,4,4,4,4,5,4,4,4,4,4.444444444444445,4.5,4.363636363636363,4.142857142857143,4.362734487734488,High
R008,38 – 47 years,Female,Single,Bachelor's Degree / HND,Marketing / Business Development,Senior Staff,Full-time,2 – 5 years,2 – 5 years,5,4,4,4,4,5,4,1,4,4,4,4,4,5,2,2,4,4,4,4,4,4,4,4,4,5,5,4,4,2,4,4,4,4,5,4,3,3.888888888888889,3.7,4.0,4.0,3.897222222222222,High
R009,28 – 37 years,Female,Married,Bachelor's Degree / HND,Credit and Risk Management,Junior Staff,Full-time,Less than 2 years,Less than 2 years,4,3,4,4,4,5,4,4,5,3,5,4,4,4,4,4,4,4,3,3,4,5,4,4,5,5,5,4,4,4,3,4,4,3,4,4,4,4.111111111111111,3.9,4.2727272727272725,3.7142857142857144,3.9995310245310245,High
R010,38 – 47 years,Female,Married,Bachelor's Degree / HND,Marketing / Business Development,Senior Staff,Full-time,2 – 5 years,Above 10 years,4,4,5,4,4,5,5,3,5,5,5,5,5,5,4,4,4,5,4,4,4,4,5,5,4,5,5,5,5,5,4,4,4,4,4,5,4,4.333333333333333,4.6,4.636363636363637,4.142857142857143,4.428138528138528,Very High
