Response_ID,Item_ID,Section,Score
R001,DIV01,Workforce Diversity,5
R001,DIV02,Workforce Diversity,4
R001,DIV03,Workforce Diversity,5
R001,DIV04,Workforce Diversity,4
R001,DIV05,Workforce Diversity,5
R001,DIV06,Workforce Diversity,5
R001,DIV07,Workforce Diversity,5
R001,DIV08,Workforce Diversity,3
R001,DIV09,Workforce Diversity,5
R001,INC01,Inclusion Practices,5
R001,INC02,Inclusion Practices,4
R001,INC03,Inclusion Practices,5
R001,INC04,Inclusion Practices,5
R001,INC05,Inclusion Practices,5
R001,INC06,Inclusion Practices,5
R001,INC07,Inclusion Practices,5
R001,INC08,Inclusion Practices,4
R001,INC09,Inclusion Practices,4
R001,INC10,Inclusion Practices,4
R001,PERF01,Organizational Performance,4
R001,PERF02,Organizational Performance,4
R001,PERF03,Organizational Performance,5
R001,PERF04,Organizational Performance,4
R001,PERF05,Organizational Performance,5
R001,PERF06,Organizational Performance,4
R001,PERF07,Organizational Performance,5
R001,PERF08,Organizational Performance,5
R001,PERF09,Organizational Performance,4
R001,PERF10,Organizational Performance,5
R001,PERF11,Organizational Performance,4
R001,REL01,Relationship Assessment,5
R001,REL02,Relationship Assessment,4
R001,REL03,Relationship Assessment,4
R001,REL04,Relationship Assessment,4
R001,REL05,Relationship Assessment,5
R001,REL06,Relationship Assessment,5
R001,REL07,Relationship Assessment,4
R002,DIV01,Workforce Diversity,4
R002,DIV02,Workforce Diversity,4
R002,DIV03,Workforce Diversity,5
R002,DIV04,Workforce Diversity,5
R002,DIV05,Workforce Diversity,5
R002,DIV06,Workforce Diversity,4
R002,DIV07,Workforce Diversity,4
R002,DIV08,Workforce Diversity,3
R002,DIV09,Workforce Diversity,4
R002,INC01,Inclusion Practices,4
R002,INC02,Inclusion Practices,4
R002,INC03,Inclusion Practices,4
R002,INC04,Inclusion Practices,4
R002,INC05,Inclusion Practices,3
R002,INC06,Inclusion Practices,4
R002,INC07,Inclusion Practices,4
R002,INC08,Inclusion Practices,4
R002,INC09,Inclusion Practices,4
R002,INC10,Inclusion Practices,4
R002,PERF01,Organizational Performance,3
R002,PERF02,Organizational Performance,4
R002,PERF03,Organizational Performance,4
R002,PERF04,Organizational Performance,4
R002,PERF05,Organizational Performance,3
R002,PERF06,Organizational Performance,4
R002,PERF07,Organizational Performance,4
R002,PERF08,Organizational Performance,4
R002,PERF09,Organizational Performance,4
R002,PERF10,Organizational Performance,4
R002,PERF11,Organizational Performance,3
R002,REL01,Relationship Assessment,4
R002,REL02,Relationship Assessment,4
R002,REL03,Relationship Assessment,3
R002,REL04,Relationship Assessment,4
R002,REL05,Relationship Assessment,4
R002,REL06,Relationship Assessment,4
R002,REL07,Relationship Assessment,4
R003,DIV01,Workforce Diversity,4
R003,DIV02,Workforce Diversity,3
R003,DIV03,Workforce Diversity,3
R003,DIV04,Workforce Diversity,2
R003,DIV05,Workforce Diversity,4
R003,DIV06,Workforce Diversity,3
R003,DIV07,Workforce Diversity,4
R003,DIV08,Workforce Diversity,2
R003,DIV09,Workforce Diversity,4
R003,INC01,Inclusion Practices,3
R003,INC02,Inclusion Practices,2
R003,INC03,Inclusion Practices,3
R003,INC04,Inclusion Practices,2
R003,INC05,Inclusion Practices,2
R003,INC06,Inclusion Practices,3
R003,INC07,Inclusion Practices,5
R003,INC08,Inclusion Practices,3
R003,INC09,Inclusion Practices,3
R003,INC10,Inclusion Practices,3
R003,PERF01,Organizational Performance,2
R003,PERF02,Organizational Performance,4
R003,PERF03,Organizational Performance,4
R003,PERF04,Organizational Performance,4
R003,PERF05,Organizational Performance,2
R003,PERF06,Organizational Performance,2
R003,PERF07,Organizational Performance,5
R003,PERF08,Organizational Performance,5
R003,PERF09,Organizational Performance,3
R003,PERF10,Organizational Performance,5
R003,PERF11,Organizational Performance,5
R003,REL01,Relationship Assessment,3
R003,REL02,Relationship Assessment,3
R003,REL03,Relationship Assessment,4
R003,REL04,Relationship Assessment,4
R003,REL05,Relationship Assessment,3
R003,REL06,Relationship Assessment,3
R003,REL07,Relationship Assessment,3
R004,DIV01,Workforce Diversity,3
R004,DIV02,Workforce Diversity,3
R004,DIV03,Workforce Diversity,4
R004,DIV04,Workforce Diversity,4
R004,DIV05,Workforce Diversity,3
R004,DIV06,Workforce Diversity,4
R004,DIV07,Workforce Diversity,4
R004,DIV08,Workforce Diversity,2
R004,DIV09,Workforce Diversity,1
R004,INC01,Inclusion Practices,2
R004,INC02,Inclusion Practices,2
R004,INC03,Inclusion Practices,3
R004,INC04,Inclusion Practices,3
R004,INC05,Inclusion Practices,5
R004,INC06,Inclusion Practices,3
R004,INC07,Inclusion Practices,5
R004,INC08,Inclusion Practices,3
R004,INC09,Inclusion Practices,5
R004,INC10,Inclusion Practices,5
R004,PERF01,Organizational Performance,2
R004,PERF02,Organizational Performance,3
R004,PERF03,Organizational Performance,3
R004,PERF04,Organizational Performance,4
R004,PERF05,Organizational Performance,5
R004,PERF06,Organizational Performance,2
R004,PERF07,Organizational Performance,3
R004,PERF08,Organizational Performance,3
R004,PERF09,Organizational Performance,3
R004,PERF10,Organizational Performance,3
R004,PERF11,Organizational Performance,2
R004,REL01,Relationship Assessment,2
R004,REL02,Relationship Assessment,2
R004,REL03,Relationship Assessment,3
R004,REL04,Relationship Assessment,3
R004,REL05,Relationship Assessment,5
R004,REL06,Relationship Assessment,3
R004,REL07,Relationship Assessment,3
R005,DIV01,Workforce Diversity,4
R005,DIV02,Workforce Diversity,4
R005,DIV03,Workforce Diversity,3
R005,DIV04,Workforce Diversity,5
R005,DIV05,Workforce Diversity,5
R005,DIV06,Workforce Diversity,4
R005,DIV07,Workforce Diversity,3
R005,DIV08,Workforce Diversity,1
R005,DIV09,Workforce Diversity,3
R005,INC01,Inclusion Practices,2
R005,INC02,Inclusion Practices,5
R005,INC03,Inclusion Practices,4
R005,INC04,Inclusion Practices,4
R005,INC05,Inclusion Practices,5
R005,INC06,Inclusion Practices,3
R005,INC07,Inclusion Practices,4
R005,INC08,Inclusion Practices,5
R005,INC09,Inclusion Practices,4
R005,INC10,Inclusion Practices,4
R005,PERF01,Organizational Performance,3
R005,PERF02,Organizational Performance,4
R005,PERF03,Organizational Performance,5
R005,PERF04,Organizational Performance,4
R005,PERF05,Organizational Performance,4
R005,PERF06,Organizational Performance,5
R005,PERF07,Organizational Performance,5
R005,PERF08,Organizational Performance,5
R005,PERF09,Organizational Performance,4
R005,PERF10,Organizational Performance,4
R005,PERF11,Organizational Performance,5
R005,REL01,Relationship Assessment,4
R005,REL02,Relationship Assessment,4
R005,REL03,Relationship Assessment,5
R005,REL04,Relationship Assessment,4
R005,REL05,Relationship Assessment,5
R005,REL06,Relationship Assessment,5
R005,REL07,Relationship Assessment,4
R006,DIV01,Workforce Diversity,3
R006,DIV02,Workforce Diversity,4
R006,DIV03,Workforce Diversity,3
R006,DIV04,Workforce Diversity,4
R006,DIV05,Workforce Diversity,5
R006,DIV06,Workforce Diversity,4
R006,DIV07,Workforce Diversity,4
R006,DIV08,Workforce Diversity,2
R006,DIV09,Workforce Diversity,3
R006,INC01,Inclusion Practices,3
R006,INC02,Inclusion Practices,3
R006,INC03,Inclusion Practices,3
R006,INC04,Inclusion Practices,4
R006,INC05,Inclusion Practices,4
R006,INC06,Inclusion Practices,4
R006,INC07,Inclusion Practices,4
R006,INC08,Inclusion Practices,3
R006,INC09,Inclusion Practices,4
R006,INC10,Inclusion Practices,4
R006,PERF01,Organizational Performance,3
R006,PERF02,Organizational Performance,5
R006,PERF03,Organizational Performance,5
R006,PERF04,Organizational Performance,5
R006,PERF05,Organizational Performance,5
R006,PERF06,Organizational Performance,4
R006,PERF07,Organizational Performance,4
R006,PERF08,Organizational Performance,3
R006,PERF09,Organizational Performance,5
R006,PERF10,Organizational Performance,4
R006,PERF11,Organizational Performance,4
R006,REL01,Relationship Assessment,5
R006,REL02,Relationship Assessment,4
R006,REL03,Relationship Assessment,4
R006,REL04,Relationship Assessment,4
R006,REL05,Relationship Assessment,3
R006,REL06,Relationship Assessment,3
R006,REL07,Relationship Assessment,4
R007,DIV01,Workforce Diversity,5
R007,DIV02,Workforce Diversity,5
R007,DIV03,Workforce Diversity,5
R007,DIV04,Workforce Diversity,4
R007,DIV05,Workforce Diversity,5
R007,DIV06,Workforce Diversity,5
R007,DIV07,Workforce Diversity,4
R007,DIV08,Workforce Diversity,2
R007,DIV09,Workforce Diversity,5
R007,INC01,Inclusion Practices,4
R007,INC02,Inclusion Practices,4
R007,INC03,Inclusion Practices,5
R007,INC04,Inclusion Practices,4
R007,INC05,Inclusion Practices,5
R007,INC06,Inclusion Practices,4
R007,INC07,Inclusion Practices,5
R007,INC08,Inclusion Practices,4
R007,INC09,Inclusion Practices,5
R007,INC10,Inclusion Practices,5
R007,PERF01,Organizational Performance,2
R007,PERF02,Organizational Performance,4
R007,PERF03,Organizational Performance,5
R007,PERF04,Organizational Performance,5
R007,PERF05,Organizational Performance,5
R007,PERF06,Organizational Performance,5
R007,PERF07,Organizational Performance,5
R007,PERF08,Organizational Performance,4
R007,PERF09,Organizational Performance,5
R007,PERF10,Organizational Performance,4
R007,PERF11,Organizational Performance,4
R007,REL01,Relationship Assessment,4
R007,REL02,Relationship Assessment,4
R007,REL03,Relationship Assessment,5
R007,REL04,Relationship Assessment,4
R007,REL05,Relationship Assessment,4
R007,REL06,Relationship Assessment,4
R007,REL07,Relationship Assessment,4
R008,DIV01,Workforce Diversity,5
R008,DIV02,Workforce Diversity,4
R008,DIV03,Workforce Diversity,4
R008,DIV04,Workforce Diversity,4
R008,DIV05,Workforce Diversity,4
R008,DIV06,Workforce Diversity,5
R008,DIV07,Workforce Diversity,4
R008,DIV08,Workforce Diversity,1
R008,DIV09,Workforce Diversity,4
R008,INC01,Inclusion Practices,4
R008,INC02,Inclusion Practices,4
R008,INC03,Inclusion Practices,4
R008,INC04,Inclusion Practices,4
R008,INC05,Inclusion Practices,5
R008,INC06,Inclusion Practices,2
R008,INC07,Inclusion Practices,2
R008,INC08,Inclusion Practices,4
R008,INC09,Inclusion Practices,4
R008,INC10,Inclusion Practices,4
R008,PERF01,Organizational Performance,4
R008,PERF02,Organizational Performance,4
R008,PERF03,Organizational Performance,4
R008,PERF04,Organizational Performance,4
R008,PERF05,Organizational Performance,4
R008,PERF06,Organizational Performance,4
R008,PERF07,Organizational Performance,5
R008,PERF08,Organizational Performance,5
R008,PERF09,Organizational Performance,4
R008,PERF10,Organizational Performance,4
R008,PERF11,Organizational Performance,2
R008,REL01,Relationship Assessment,4
R008,REL02,Relationship Assessment,4
R008,REL03,Relationship Assessment,4
R008,REL04,Relationship Assessment,4
R008,REL05,Relationship Assessment,5
R008,REL06,Relationship Assessment,4
R008,REL07,Relationship Assessment,3
R009,DIV01,Workforce Diversity,4
R009,DIV02,Workforce Diversity,3
R009,DIV03,Workforce Diversity,4
R009,DIV04,Workforce Diversity,4
R009,DIV05,Workforce Diversity,4
R009,DIV06,Workforce Diversity,5
R009,DIV07,Workforce Diversity,4
R009,DIV08,Workforce Diversity,4
R009,DIV09,Workforce Diversity,5
R009,INC01,Inclusion Practices,3
R009,INC02,Inclusion Practices,5
R009,INC03,Inclusion Practices,4
R009,INC04,Inclusion Practices,4
R009,INC05,Inclusion Practices,4
R009,INC06,Inclusion Practices,4
R009,INC07,Inclusion Practices,4
R009,INC08,Inclusion Practices,4
R009,INC09,Inclusion Practices,4
R009,INC10,Inclusion Practices,3
R009,PERF01,Organizational Performance,3
R009,PERF02,Organizational Performance,4
R009,PERF03,Organizational Performance,5
R009,PERF04,Organizational Performance,4
R009,PERF05,Organizational Performance,4
R009,PERF06,Organizational Performance,5
R009,PERF07,Organizational Performance,5
R009,PERF08,Organizational Performance,5
R009,PERF09,Organizational Performance,4
R009,PERF10,Organizational Performance,4
R009,PERF11,Organizational Performance,4
R009,REL01,Relationship Assessment,3
R009,REL02,Relationship Assessment,4
R009,REL03,Relationship Assessment,4
R009,REL04,Relationship Assessment,3
R009,REL05,Relationship Assessment,4
R009,REL06,Relationship Assessment,4
R009,REL07,Relationship Assessment,4
R010,DIV01,Workforce Diversity,4
R010,DIV02,Workforce Diversity,4
R010,DIV03,Workforce Diversity,5
R010,DIV04,Workforce Diversity,4
R010,DIV05,Workforce Diversity,4
R010,DIV06,Workforce Diversity,5
R010,DIV07,Workforce Diversity,5
R010,DIV08,Workforce Diversity,3
R010,DIV09,Workforce Diversity,5
R010,INC01,Inclusion Practices,5
R010,INC02,Inclusion Practices,5
R010,INC03,Inclusion Practices,5
R010,INC04,Inclusion Practices,5
R010,INC05,Inclusion Practices,5
R010,INC06,Inclusion Practices,4
R010,INC07,Inclusion Practices,4
R010,INC08,Inclusion Practices,4
R010,INC09,Inclusion Practices,5
R010,INC10,Inclusion Practices,4
R010,PERF01,Organizational Performance,4
R010,PERF02,Organizational Performance,4
R010,PERF03,Organizational Performance,4
R010,PERF04,Organizational Performance,5
R010,PERF05,Organizational Performance,5
R010,PERF06,Organizational Performance,4
R010,PERF07,Organizational Performance,5
R010,PERF08,Organizational Performance,5
R010,PERF09,Organizational Performance,5
R010,PERF10,Organizational Performance,5
R010,PERF11,Organizational Performance,5
R010,REL01,Relationship Assessment,4
R010,REL02,Relationship Assessment,4
R010,REL03,Relationship Assessment,4
R010,REL04,Relationship Assessment,4
R010,REL05,Relationship Assessment,4
R010,REL06,Relationship Assessment,5
R010,REL07,Relationship Assessment,4
R011,DIV01,Workforce Diversity,5
R011,DIV02,Workforce Diversity,5
R011,DIV03,Workforce Diversity,5
R011,DIV04,Workforce Diversity,5
R011,DIV05,Workforce Diversity,5
R011,DIV06,Workforce Diversity,5
R011,DIV07,Workforce Diversity,5
R011,DIV08,Workforce Diversity,3
R011,DIV09,Workforce Diversity,4
R011,INC01,Inclusion Practices,4
R011,INC02,Inclusion Practices,4
R011,INC03,Inclusion Practices,4
R011,INC04,Inclusion Practices,4
R011,INC05,Inclusion Practices,3
R011,INC06,Inclusion Practices,3
R011,INC07,Inclusion Practices,4
R011,INC08,Inclusion Practices,3
R011,INC09,Inclusion Practices,4
R011,INC10,Inclusion Practices,4
R011,PERF01,Organizational Performance,2
R011,PERF02,Organizational Performance,5
R011,PERF03,Organizational Performance,4
R011,PERF04,Organizational Performance,3
R011,PERF05,Organizational Performance,5
R011,PERF06,Organizational Performance,4
R011,PERF07,Organizational Performance,3
R011,PERF08,Organizational Performance,5
R011,PERF09,Organizational Performance,4
R011,PERF10,Organizational Performance,4
R011,PERF11,Organizational Performance,4
R011,REL01,Relationship Assessment,4
R011,REL02,Relationship Assessment,4
R011,REL03,Relationship Assessment,4
R011,REL04,Relationship Assessment,4
